Unnamed: 0,MLE.skill1,MLE.skill2,MLE.skill3,MLE.skill4,MLE.skill5,MLE.skill6,MLE.skill7
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1,1,1,0,1,0,1
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1,0,0,0,0,1,0
75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0,0,0,0,1,1,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1,0,1,1,1,0,1
79,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1,0,1,0,1,0,1
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1,0,0,0,1,0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1,1,1,1,1,1,0
85,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1,1,1,0,1,0,0
87,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1,0,1,1,1,1,1
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1,0,1,1,1,1,1
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1,1,0,1,1,1,1
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1,0,1,1,1,1,1
95,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1,1,1,1,1,1,1
97,1.0,1.0,1.0,0.0,1.0,1.0,1.0
98,0,0,0,0,0,0,0
99,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0,0,0,0,0,1,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1,0,1,0,1,0,0
103,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1,0,1,1,1,1,1
105,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1,1,0,0,1,0,0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1,0,0,1,1,0,0
109,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1,0,0,1,1,1,0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1,0,0,0,1,0,1
113,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,1,1,1,1,1,1,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1,0,0,0,1,0,1
117,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,1,1,1,0,1,1,1
119,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0,0,0,1,1,0,0
121,1.0,0.0,0.0,1.0,0.0,1.0,0.0
122,0,0,0,0,0,0,0
123,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,0,0,0,0,0,1,0
125,1.0,0.0,1.0,1.0,1.0,1.0,1.0
126,0,0,1,0,0,1,1
127,1.0,0.0,1.0,1.0,0.0,1.0,1.0
128,0,0,0,0,0,1,0
129,1.0,0.0,0.0,0.0,1.0,0.0,0.0
130,0,0,0,0,0,1,0
131,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132,1,1,1,1,1,1,1
133,1.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1,0,0,0,1,0,0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1,0,0,1,1,1,1
137,1.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1,1,1,0,1,1,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0,1,0,0,1,1,0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,1,0,0,1,1,1,0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,1,1,0,0,1,0,0
145,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,1,1,0,0,1,0,1
147,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0,1,0,0,1,1,0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1,0,1,1,1,0,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1,1,1,1,1,1,1
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1,0,0,0,1,0,0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1,1,1,1,1,1,1
157,1.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1,1,1,1,1,1,1
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,1,1,1,1,1,1,1
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,1,0,1,0,1,0,1
163,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164,1,0,1,1,1,1,1
165,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,1,0,1,0,1,0,1
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0,0,1,0,0,1,1
169,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0,0,1,0,0,1,1
171,0.0,0.0,1.0,0.0,0.0,0.0,0.0
172,0,0,1,0,0,0,0
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,0,0,0,0,0,1,0
175,0.0,0.0,0.0,1.0,0.0,0.0,0.0
176,0,0,1,0,0,0,1
177,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,0,0,1,0,0,1,1
179,0.0,0.0,0.0,1.0,0.0,0.0,0.0
180,0,0,1,0,0,1,1
181,1.0,0.0,1.0,0.0,1.0,0.0,0.0
182,0,0,1,0,0,0,1
183,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184,0,0,1,0,0,0,1
185,1.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1,1,1,0,1,0,1
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0,0,1,0,0,0,1
189,0.0,1.0,1.0,1.0,0.0,0.0,1.0
190,0,0,0,0,0,0,0
191,1.0,0.0,1.0,1.0,1.0,1.0,1.0
192,1,0,0,0,1,1,1
193,1.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1,1,0,1,0,1,0
195,1.0,0.0,0.0,0.0,0.0,0.0,0.0
196,1,1,1,0,1,1,1
197,1.0,0.0,0.0,0.0,0.0,0.0,0.0
198,1,0,1,1,1,1,1
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1,0,1,0,1,1,0
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,1,0,0,1,0,1,0
203,1.0,0.0,0.0,0.0,0.0,0.0,0.0
204,1,0,1,1,1,0,1
205,1.0,0.0,0.0,0.0,0.0,0.0,0.0
206,0,1,1,0,0,0,0
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,1,0,0,1,1,1,1
209,1.0,0.0,0.0,0.0,0.0,0.0,0.0
210,1,1,1,1,1,1,1
211,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0,0,0,1,1,0,0
213,1.0,0.0,0.0,0.0,0.0,0.0,0.0
214,1,1,0,1,1,1,0
215,1.0,0.0,0.0,0.0,0.0,0.0,0.0
216,1,0,0,0,1,1,0
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,1,0,1,1,1,1,0
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,1,1,1,1,1,1,1
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,1,0,0,0,1,1,0
223,1.0,0.0,0.0,0.0,0.0,0.0,0.0
224,0,1,0,0,0,0,0
225,1.0,0.0,0.0,0.0,0.0,0.0,0.0
226,1,0,1,0,0,1,1
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,0,0,1,0,0,0,0
229,1.0,1.0,1.0,1.0,1.0,1.0,1.0
230,0,0,1,0,0,1,1
231,1.0,0.0,0.0,1.0,1.0,1.0,0.0
232,0,0,1,0,0,1,0
233,0.0,0.0,0.0,0.0,1.0,1.0,1.0
234,0,0,1,0,0,0,1
235,1.0,0.0,0.0,1.0,1.0,1.0,0.0
236,0,0,0,0,0,0,1
237,1.0,0.0,0.0,1.0,0.0,1.0,0.0
238,0,0,0,0,0,0,1
239,1.0,1.0,1.0,1.0,1.0,1.0,1.0
240,0,0,1,0,0,0,1
241,1.0,0.0,0.0,0.0,0.0,1.0,0.0
242,0,0,1,0,0,1,1
243,1.0,0.0,1.0,0.0,0.0,1.0,1.0
244,0,0,0,0,1,0,0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1,0,0,0,1,1,1
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,1,0,1,0,1,0,1
249,1.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1,0,0,0,1,0,0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,1,0,1,1,1,1,1
253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,1,0,0,0,1,0,0
255,1.0,0.0,0.0,0.0,0.0,0.0,0.0
256,1,1,0,1,1,1,1
257,1.0,0.0,0.0,0.0,0.0,0.0,0.0
258,1,0,0,0,1,0,0
259,1.0,0.0,0.0,0.0,0.0,0.0,0.0
260,1,0,0,0,1,1,0
261,1.0,0.0,0.0,0.0,0.0,0.0,0.0
262,1,1,1,0,1,0,1
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0,0,0,1,1,1,1
265,1.0,0.0,0.0,0.0,0.0,0.0,0.0
266,0,0,0,0,1,0,1
267,1.0,0.0,0.0,0.0,0.0,0.0,0.0
268,1,1,0,0,0,0,0
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,1,1,0,0,1,0,0
271,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272,1,0,1,0,1,1,1
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,1,0,1,1,1,1,0
275,1.0,0.0,0.0,0.0,0.0,0.0,0.0
276,1,0,1,1,1,1,1
277,1.0,0.0,0.0,0.0,0.0,0.0,0.0
278,1,0,1,0,1,0,1
279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,1,0,0,0,1,0,0
281,1.0,0.0,0.0,0.0,0.0,0.0,0.0
282,0,0,0,0,1,0,0
283,1.0,0.0,0.0,0.0,0.0,0.0,0.0
284,1,1,1,0,1,1,1
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,1,1,1,0,1,1,1
287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,0,0,0,0,0,1,0
289,1.0,0.0,0.0,0.0,0.0,0.0,0.0
290,0,0,1,0,0,1,0
291,1.0,0.0,0.0,1.0,0.0,1.0,0.0
292,0,0,1,0,0,0,0
293,0.0,1.0,0.0,0.0,0.0,0.0,0.0
294,0,0,1,0,0,0,1
295,1.0,1.0,1.0,1.0,1.0,1.0,1.0
296,0,0,1,0,0,0,1
297,1.0,0.0,1.0,1.0,1.0,1.0,1.0
298,1,0,0,1,0,0,1
299,1.0,0.0,0.0,0.0,0.0,0.0,0.0
300,1,0,1,0,1,0,1
301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,1,1,1,1,1,1,1
303,1.0,0.0,0.0,0.0,0.0,0.0,0.0
304,1,0,0,1,1,1,0
305,1.0,0.0,0.0,0.0,0.0,0.0,0.0
306,1,1,1,0,1,0,1
307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,0,0,0,0,1,1,0
309,1.0,0.0,0.0,0.0,0.0,0.0,0.0
310,1,0,0,1,0,0,0
311,1.0,0.0,0.0,0.0,0.0,0.0,0.0
312,1,1,1,1,1,1,1
313,1.0,0.0,0.0,0.0,0.0,0.0,0.0
314,1,1,1,1,1,1,1
315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,1,0,0,0,1,0,0
317,1.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0,0,1,0,0,0,1
319,0.0,0.0,0.0,0.0,1.0,0.0,0.0
320,0,0,1,0,0,1,1
321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,0,0,0,0,0,0,0
323,1.0,0.0,0.0,1.0,1.0,1.0,1.0
324,0,0,0,0,0,0,0
325,1.0,1.0,0.0,0.0,1.0,1.0,0.0
326,0,0,1,0,0,1,1
327,1.0,0.0,1.0,1.0,1.0,1.0,1.0
328,0,0,1,0,0,1,1
329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,0,0,1,0,0,1,1
331,1.0,0.0,0.0,0.0,0.0,0.0,1.0
332,0,0,1,0,0,1,1
333,1.0,0.0,0.0,0.0,1.0,1.0,0.0
334,0,0,1,0,0,1,1
335,1.0,1.0,1.0,1.0,1.0,1.0,1.0
336,0,0,1,0,0,1,1
337,1.0,0.0,1.0,0.0,1.0,1.0,1.0
338,0,0,0,0,0,1,1
339,1.0,0.0,0.0,0.0,0.0,0.0,0.0
340,0,0,0,0,0,0,0
341,1.0,0.0,0.0,1.0,0.0,1.0,1.0
342,1,0,0,1,1,1,1
343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,1,0,1,1,1,1,1
345,1.0,0.0,0.0,0.0,0.0,0.0,0.0
346,1,0,1,0,1,1,1
347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,1,1,1,0,1,0,1
349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,1,1,1,1,1,1,1
351,1.0,0.0,0.0,0.0,0.0,0.0,0.0
352,1,0,0,1,1,0,0
353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,1,0,1,0,1,0,1
355,1.0,0.0,0.0,0.0,0.0,0.0,0.0
356,1,1,1,1,1,0,0
357,1.0,0.0,0.0,0.0,0.0,0.0,0.0
358,1,1,0,1,0,0,0
359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,1,0,1,1,1,1,1
361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,1,0,1,0,1,0,0
363,1.0,0.0,1.0,0.0,1.0,0.0,1.0
364,0,0,0,0,0,1,0
365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,0,0,0,0,0,0,0
367,1.0,0.0,1.0,0.0,0.0,0.0,1.0
368,0,0,0,0,0,1,0
369,1.0,0.0,1.0,1.0,1.0,1.0,1.0
370,0,0,1,0,0,1,1
371,1.0,1.0,1.0,1.0,1.0,1.0,1.0
372,0,0,0,0,0,0,0
373,1.0,1.0,1.0,1.0,1.0,1.0,1.0
374,0,0,0,0,0,1,0
375,1.0,1.0,1.0,0.0,0.0,0.0,0.0
376,0,0,1,0,0,0,1
377,0.0,1.0,0.0,0.0,1.0,1.0,0.0
378,0,0,0,0,0,1,0
379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,1,0,0,1,1,1,0
381,1.0,0.0,0.0,0.0,0.0,0.0,0.0
382,1,1,1,1,1,1,1
383,1.0,0.0,0.0,0.0,0.0,0.0,0.0
384,1,0,1,0,1,0,0
385,1.0,0.0,0.0,0.0,0.0,0.0,0.0
386,1,0,1,0,1,0,1
387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,1,1,1,0,1,0,1
389,1.0,0.0,0.0,0.0,0.0,0.0,0.0
390,0,0,0,0,0,0,0
391,1.0,0.0,0.0,0.0,0.0,1.0,1.0
392,0,0,1,0,0,0,1
393,1.0,0.0,1.0,1.0,1.0,1.0,1.0
394,0,0,1,0,0,0,1
395,1.0,0.0,1.0,0.0,1.0,1.0,1.0
396,0,0,0,0,0,0,1
397,1.0,0.0,0.0,0.0,0.0,0.0,0.0
398,1,1,1,0,1,1,0
399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,1,0,1,1,1,1,1
401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,1,0,1,1,1,1,1
403,1.0,0.0,0.0,0.0,0.0,0.0,0.0
404,1,0,0,1,0,0,0
405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,1,0,1,1,1,1,1
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,1,0,1,0,1,0,0
409,1.0,0.0,0.0,0.0,0.0,0.0,0.0
410,1,0,1,1,1,0,1
411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,1,0,1,0,1,0,1
413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,1,1,0,1,1,1,0
415,1.0,0.0,0.0,0.0,0.0,0.0,0.0
416,1,0,1,0,1,0,1
417,1.0,0.0,1.0,0.0,0.0,0.0,1.0
418,0,0,0,0,0,0,0
419,1.0,0.0,1.0,1.0,1.0,1.0,0.0
420,0,0,1,0,0,0,1
421,1.0,0.0,1.0,1.0,1.0,1.0,1.0
422,0,0,1,0,0,1,1
423,1.0,0.0,0.0,1.0,0.0,0.0,1.0
424,0,0,0,0,0,1,0
425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,0,0,1,0,0,1,0
427,0.0,0.0,1.0,1.0,1.0,1.0,1.0
428,0,0,0,0,0,0,0
429,1.0,0.0,0.0,0.0,0.0,0.0,0.0
430,0,0,0,0,0,0,0
431,1.0,0.0,0.0,0.0,0.0,0.0,0.0
432,0,0,1,0,0,0,0
433,0.0,0.0,0.0,1.0,0.0,0.0,0.0
434,0,0,1,0,0,0,1
435,0.0,0.0,0.0,1.0,0.0,1.0,0.0
436,0,0,1,0,0,0,1
437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,0,0,0,0,0,1,0
439,1.0,1.0,1.0,1.0,1.0,1.0,1.0
440,0,0,1,0,0,1,1
441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,0,0,0,0,0,0,0
443,0.0,1.0,0.0,0.0,0.0,1.0,0.0
444,0,0,0,0,0,1,1
445,1.0,0.0,0.0,0.0,0.0,0.0,0.0
446,0,0,1,0,0,1,1
447,1.0,1.0,1.0,1.0,1.0,1.0,1.0
448,0,0,0,0,0,1,0
449,1.0,1.0,0.0,0.0,1.0,1.0,0.0
450,0,0,1,0,0,1,1
451,0.0,0.0,0.0,1.0,1.0,1.0,0.0
452,0,0,1,0,0,0,0
453,1.0,0.0,1.0,1.0,1.0,0.0,1.0
454,0,0,0,0,0,1,0
455,1.0,1.0,0.0,0.0,0.0,1.0,1.0
456,0,0,1,0,0,1,0
457,1.0,1.0,0.0,0.0,1.0,1.0,0.0
458,0,0,0,0,0,1,0
459,1.0,0.0,1.0,1.0,0.0,0.0,0.0
460,0,0,1,0,0,1,0
461,1.0,0.0,1.0,1.0,1.0,1.0,1.0
462,0,0,1,0,0,1,1
463,0.0,1.0,0.0,0.0,0.0,0.0,0.0
464,0,0,0,0,0,1,0
465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,0,0,0,0,0,0,1
467,0.0,0.0,0.0,0.0,1.0,0.0,0.0
468,1,0,1,0,1,0,1
469,1.0,0.0,0.0,0.0,0.0,0.0,0.0
470,1,0,1,1,1,1,1
471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,1,1,1,1,1,1,1
473,1.0,0.0,0.0,0.0,0.0,0.0,0.0
474,0,0,0,0,0,0,0
475,1.0,0.0,1.0,1.0,1.0,1.0,0.0
476,0,0,1,0,0,1,1
477,1.0,1.0,1.0,0.0,0.0,1.0,1.0
478,0,0,0,0,0,1,0
479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,1,0,0,1,1,1,0
481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,0,1,0,0,1,1,0
483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,1,1,1,1,1,1,1
485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,1,1,1,1,1,0,1
487,1.0,0.0,0.0,0.0,0.0,0.0,0.0
488,1,0,1,1,1,1,1
489,1.0,1.0,1.0,0.0,1.0,0.0,1.0
490,0,0,0,0,0,0,0
491,1.0,1.0,0.0,0.0,1.0,1.0,0.0
492,0,0,1,0,0,1,1
493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,1,0,0,1,1,0,0
495,1.0,0.0,0.0,0.0,0.0,0.0,0.0
496,1,0,1,0,0,0,1
497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,1,0,1,1,1,1,1
499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,1,1,0,0,0,0,0
501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,1,0,0,1,1,1,0
503,1.0,0.0,0.0,0.0,0.0,0.0,0.0
504,1,0,1,1,1,1,1
505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,1,0,0,1,1,0,0
507,1.0,0.0,0.0,0.0,0.0,0.0,0.0
508,1,0,0,1,1,1,0
509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,1,1,1,1,1,0,1
511,1.0,0.0,0.0,0.0,0.0,0.0,0.0
512,1,0,0,1,1,1,0
513,1.0,0.0,0.0,0.0,0.0,0.0,0.0
514,0,0,1,0,0,1,1
515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,0,0,1,0,0,1,1
517,1.0,0.0,0.0,0.0,1.0,1.0,0.0
518,0,0,1,0,0,1,1
519,1.0,0.0,1.0,1.0,1.0,0.0,0.0
520,0,0,0,0,0,0,1
521,0.0,0.0,0.0,0.0,0.0,0.0,1.0
522,0,0,0,0,0,1,0
523,0.0,1.0,0.0,0.0,1.0,1.0,0.0
524,0,0,0,0,1,1,0
525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,1,0,1,1,1,1,1
527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,1,1,0,0,1,0,0
529,1.0,0.0,0.0,0.0,0.0,0.0,0.0
530,1,0,1,1,1,1,1
531,1.0,0.0,0.0,0.0,0.0,0.0,0.0
532,1,0,0,0,0,1,1
533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,1,0,1,1,1,1,0
535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,1,0,1,0,1,0,0
537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,0,0,0,0,0,1,0
539,1.0,1.0,0.0,0.0,1.0,0.0,0.0
540,0,0,1,0,0,0,0
541,0.0,1.0,0.0,1.0,1.0,1.0,0.0
542,0,0,0,0,0,0,0
543,0.0,1.0,0.0,0.0,0.0,0.0,0.0
544,0,0,0,0,0,0,0
545,1.0,0.0,1.0,0.0,0.0,0.0,0.0
546,0,0,1,0,0,0,1
547,1.0,0.0,0.0,1.0,1.0,1.0,0.0
548,0,0,0,0,0,0,0
549,1.0,0.0,0.0,0.0,0.0,1.0,0.0
550,0,0,1,0,0,1,1
551,0.0,0.0,0.0,0.0,0.0,1.0,0.0
552,0,0,0,0,0,1,0
553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,0,0,0,0,0,0,0
555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,0,0,0,0,0,0,0
557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,0,0,1,0,0,1,0
559,0.0,0.0,0.0,1.0,0.0,1.0,0.0
560,1,1,0,1,1,0,1
561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,0,0,0,0,0,0,0
563,1.0,0.0,0.0,0.0,1.0,1.0,1.0
564,0,0,1,0,0,0,1
565,1.0,0.0,0.0,0.0,0.0,1.0,0.0
566,0,0,1,0,0,1,1
567,1.0,1.0,1.0,1.0,1.0,1.0,1.0
568,0,0,1,0,0,0,1
569,1.0,1.0,1.0,1.0,1.0,1.0,1.0
570,0,0,0,0,0,1,0
571,1.0,0.0,1.0,0.0,1.0,0.0,1.0
572,0,0,0,0,0,0,0
573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,0,0,1,0,0,1,1
575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,1,1,1,0,1,1,1
577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,1,0,1,1,1,1,0
579,1.0,0.0,0.0,0.0,0.0,0.0,0.0
580,1,0,0,1,1,1,0
581,1.0,0.0,0.0,0.0,0.0,0.0,0.0
582,1,0,0,0,1,0,0
583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,1,0,1,1,1,0,1
585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,1,1,1,1,1,1,0
587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,1,0,1,0,1,0,0
589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,0,0,1,0,0,0,1
591,1.0,1.0,1.0,1.0,1.0,1.0,1.0
592,0,0,1,0,0,0,1
593,1.0,1.0,1.0,1.0,1.0,1.0,1.0
594,0,0,0,0,0,1,1
595,1.0,1.0,1.0,0.0,1.0,0.0,1.0
596,0,0,1,0,0,1,1
597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,0,0,1,0,0,1,1
599,1.0,0.0,0.0,0.0,0.0,1.0,1.0
600,0,0,1,0,0,1,0
601,0.0,0.0,0.0,0.0,0.0,1.0,0.0
602,0,0,1,0,0,1,1
