,M041052,M041056,M041069,M041076,M041281,M041164,M041146,M041152,M041258A,M041258B,M041131,M041275,M041186,M041336,M031303,M031309,M031245,M031242A,M031242B,M031242C,M031247,M031219,M031173,M031085,M031172
355,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1,0,1
370,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
371,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,1,1,1
388,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
389,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
404,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
405,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,0,1
423,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0
424,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,1
440,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1
456,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
457,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1
473,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1
474,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
491,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1
508,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
509,,,,,,,,,,,,,,,0,1,0,0,0,1,0,1,0,1,0
526,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0
527,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,1
543,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0
544,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,0,1
559,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,1
574,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1
575,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1
590,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1
591,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
606,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
607,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,1
624,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1
625,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1,0,0
635,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1
636,,,,,,,,,,,,,,,1,0,0,1,1,1,0,0,1,0,0
652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
653,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,1,1
670,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
671,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,0
675,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1
676,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1
701,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
702,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,1
719,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1
720,,,,,,,,,,,,,,,1,0,0,1,1,1,0,0,0,1,0
736,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1
737,,,,,,,,,,,,,,,1,1,0,0,1,1,0,1,1,0,1
754,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0
755,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1
771,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
772,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,0
788,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
789,,,,,,,,,,,,,,,1,0,0,1,0,1,0,1,1,1,0
806,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1
807,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,0,0,1
822,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1
823,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
835,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
839,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1
840,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,1
857,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1
858,,,,,,,,,,,,,,,1,0,0,0,1,0,0,1,1,0,1
875,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,0,0
889,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0
890,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,0
907,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
908,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1
924,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
925,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0
941,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
942,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
965,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1
966,,,,,,,,,,,,,,,1,0,0,1,0,1,0,0,0,1,1
982,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1
983,,,,,,,,,,,,,,,1,1,0,0,1,1,0,1,1,1,1
996,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1
997,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0
1013,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1
1014,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0
1031,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0
1032,,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,1,1,1
1049,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1065,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1
1066,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
1082,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1
1083,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,1
1099,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
1100,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
1117,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1
1118,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0
1134,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1
1135,,,,,,,,,,,,,,,1,0,0,0,0,1,0,1,0,0,0
1151,,,,,,,,,,,,,,,1,1,0,1,1,0,1,1,1,1,1
1168,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
1169,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
1186,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
1187,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0
1203,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1204,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,1,1
1220,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
1221,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1
1236,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
1237,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,0,0
1254,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1
1255,,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,1,0,1
1272,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0
1273,,,,,,,,,,,,,,,1,1,0,0,1,1,0,1,1,0,1
1289,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1
1290,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1
1307,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1308,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,1
1325,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1
1326,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,1,0,1
1343,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
1344,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,1,0
1362,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
1363,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0
1379,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1
1380,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,0,1
1397,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1
1398,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0
1415,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
1416,,,,,,,,,,,,,,,1,0,0,1,1,1,0,0,1,1,1
1431,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1
1432,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,0
1448,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1
1449,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,1,1
1465,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0
1466,,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,1,0,0
1483,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1
1499,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1500,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
1514,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0
1515,,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,0,0,0
1528,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1529,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,1
1546,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
1547,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,1,1,1
1564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1565,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1
1584,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1585,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
1601,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0
1602,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,0,1
1616,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
1617,,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,1,1,1
1632,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,1,1,0
1648,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0
1649,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1
1666,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,0,0
1678,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
1679,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0
1696,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
1697,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1
1698,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0
1715,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
1716,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
1733,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
1734,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1
1748,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1
1749,,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,1,0
1765,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0
1766,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,0,0
1780,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1
1781,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,0,1
1798,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1
1799,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1
1815,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1816,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0
1833,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1
1834,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1
1851,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
1852,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
1868,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1869,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,0
1886,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1
1887,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,0,1
1904,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
1905,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0
1921,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0
1922,,,,,,,,,,,,,,,0,1,0,1,1,1,0,1,1,1,1
1939,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1
1940,,,,,,,,,,,,,,,1,0,0,1,1,1,0,1,1,1,1
1956,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1
1957,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,1,1
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1975,,,,,,,,,,,,,,,1,1,0,0,1,1,0,1,1,1,1
1992,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1
1993,,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,0,1,0
2009,,,,,,,,,,,,,,,1,0,0,1,0,1,0,0,1,1,1
2025,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
2026,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,1
2043,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1
2044,,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,1,1,1
2061,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1
2062,,,,,,,,,,,,,,,1,1,0,1,1,1,1,0,1,1,1
2080,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0
2081,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,1,1,1
2102,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
2103,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,0,1
2111,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
2112,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,1,0
2129,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1
2130,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,0
2146,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1
2163,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2164,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,0
2181,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
2182,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1
2199,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1
2200,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,0,0
2216,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
2217,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0
2233,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1
2234,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,1
2251,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
2252,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1
2269,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1
2270,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
2287,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0
2288,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,1,0,1
2303,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2304,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1
2321,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1
2322,,,,,,,,,,,,,,,1,0,0,0,1,1,0,1,0,1,0
2338,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1
2339,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
2356,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
2357,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1
2374,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2375,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,1,0,0
2392,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1
2393,,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,1,0,1
2410,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1
2411,,,,,,,,,,,,,,,0,1,0,1,1,1,0,1,0,0,1
2428,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1
2429,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1
2445,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1
2446,,,,,,,,,,,,,,,1,1,0,0,0,1,0,1,1,0,1
2463,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1
2464,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,0,1,1
2479,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
2480,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1,0,1
2492,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2493,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,1
2510,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1
2511,,,,,,,,,,,,,,,1,0,0,1,1,1,0,0,1,1,0
2528,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1
2529,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,1
2546,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,0
2563,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0
2564,,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,1,1,1
2581,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0
2582,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,1,1,1
2599,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
2600,,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,1
2614,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1
2615,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,1,1,1
2629,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1
2646,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
2647,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,1
2663,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
2664,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0
