,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
96,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1
98,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
99,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
100,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
102,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
104,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
106,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
107,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0
110,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0
111,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0
114,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1
115,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0
116,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
119,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
123,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1
126,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
127,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
128,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0
130,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
131,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
132,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
133,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
137,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1
138,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
139,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
141,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0
142,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
143,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
144,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
146,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
147,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
152,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
154,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
155,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
156,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
157,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
158,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1
159,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0
160,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
161,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
162,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
172,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0
175,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
176,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
177,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1
178,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
180,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
181,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0
183,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0
184,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
186,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
187,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
192,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
193,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
194,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1
195,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
196,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
203,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
204,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0
206,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
207,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1
208,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
209,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
212,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0
213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
218,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
219,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0
220,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1
221,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0
222,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
226,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
229,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
230,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
233,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
234,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
235,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
236,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
237,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
238,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
239,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
240,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
241,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
242,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0
243,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1
244,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
245,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
246,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
247,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
249,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
251,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
252,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0
253,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
254,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
255,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
256,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
259,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
260,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
261,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
262,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
263,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
264,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
266,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
267,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
268,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
269,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0
270,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
271,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
272,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1
273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
274,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
276,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
277,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
279,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
280,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
283,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
285,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1
286,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
287,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0
288,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
289,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1
290,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
293,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0
294,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
295,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
296,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
299,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
301,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
303,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
304,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
306,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1
307,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
308,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
309,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
311,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
312,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
313,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0
314,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
315,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
316,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
317,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0
318,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0
319,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
320,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
321,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
322,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
323,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
324,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1
325,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
326,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
327,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
328,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
329,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
330,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
