Unnamed: 0,A1,A2,A3
224,0,0,1
225,0.0,1.0,1.0
226,1,0,1
227,0.0,1.0,1.0
228,0,0,1
229,1.0,0.0,1.0
230,0,0,1
231,0.0,0.0,1.0
232,1,0,1
233,0.0,0.0,1.0
234,0,1,1
235,1.0,1.0,1.0
236,0,0,1
237,0.0,0.0,1.0
238,0,1,0
239,1.0,1.0,1.0
240,0,1,0
241,1.0,0.0,1.0
242,0,1,0
243,1.0,1.0,1.0
244,0,0,1
245,0.0,0.0,1.0
246,0,1,1
247,0.0,1.0,1.0
248,0,0,1
249,0.0,0.0,1.0
250,0,0,1
251,0.0,1.0,1.0
252,1,1,1
253,0.0,0.0,0.0
254,0,1,0
255,1.0,1.0,1.0
256,0,1,1
257,1.0,1.0,1.0
258,0,1,0
259,1.0,0.0,1.0
260,0,0,1
261,0.0,1.0,1.0
262,0,0,1
263,0.0,0.0,0.0
264,1,1,1
265,0.0,1.0,1.0
266,0,0,0
267,0.0,1.0,1.0
268,0,1,1
269,0.0,1.0,0.0
270,1,0,1
271,1.0,0.0,1.0
272,0,0,1
273,1.0,1.0,1.0
274,0,0,0
275,1.0,0.0,1.0
276,0,1,1
277,0.0,1.0,0.0
278,0,1,1
279,1.0,1.0,1.0
280,0,1,1
281,0.0,0.0,1.0
282,0,1,1
283,0.0,0.0,1.0
284,0,0,1
285,0.0,1.0,1.0
286,0,0,1
287,1.0,1.0,1.0
288,0,0,1
289,0.0,1.0,0.0
290,0,0,1
291,1.0,0.0,1.0
292,0,1,1
293,0.0,1.0,1.0
294,0,1,1
295,0.0,0.0,1.0
296,0,0,1
297,0.0,1.0,1.0
298,0,0,1
299,0.0,1.0,1.0
