,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15
86,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
87,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1
88,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
91,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
92,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
93,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
94,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1
98,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
99,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
102,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
103,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
106,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0
107,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0
110,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0
111,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0
114,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1
115,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0
116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1
119,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
123,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
126,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
127,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
128,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0
130,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
131,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
132,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
133,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
137,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1
138,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
139,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
141,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0
142,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
143,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
144,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
145,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
146,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
147,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1
150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
152,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
154,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
155,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
156,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
157,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
158,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1
159,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
160,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
161,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
162,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
163,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
172,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0
175,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0
176,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1
177,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1
178,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
179,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0
183,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0
184,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
185,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
186,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
187,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
188,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
194,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1
195,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
203,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1
204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0
206,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
207,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1
208,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
209,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
212,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0
213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0
220,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1
221,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0
222,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
225,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
226,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
229,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
230,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
233,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
234,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
235,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
236,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
237,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0
238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
239,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1
240,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
241,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
242,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0
243,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1
244,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
245,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
248,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
249,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0
253,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
254,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
255,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
256,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
259,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1
260,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
261,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
262,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
263,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
264,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
265,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
266,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
268,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
269,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0
270,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
271,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
272,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1
273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
274,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
276,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0
277,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
280,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
281,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
283,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
284,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
285,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1
286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
287,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
288,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
289,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1
290,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
293,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
294,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
295,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
296,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
298,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1
299,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
300,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
302,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
303,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0
304,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
305,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
306,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1
307,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
308,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
309,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
310,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
311,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0
312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
313,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
314,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
315,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
316,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
317,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
318,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
319,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
320,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
321,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
322,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1
325,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
326,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
327,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
328,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1
329,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0
330,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
331,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0
332,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0
333,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
335,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
336,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0
337,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
338,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
339,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0
340,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
344,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
345,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
346,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
347,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
348,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0
349,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
350,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
351,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
352,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
353,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
355,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
356,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
357,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
359,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
360,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0
361,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
362,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
363,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
364,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
365,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
366,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0
367,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
368,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
370,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
371,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
372,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
373,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
374,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
375,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
376,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
377,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
378,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0
379,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
380,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
381,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
382,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
383,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
384,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
385,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
386,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0
387,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
388,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
390,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
391,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
392,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
393,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
395,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
397,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
398,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
401,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0
402,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1
403,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
404,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0
405,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0
408,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
409,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0
410,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
411,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
412,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
413,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
414,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
415,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
416,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
417,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0
418,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
419,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
420,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0
421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
422,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
425,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
427,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
428,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
429,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
430,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0
431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
432,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
433,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
434,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
